FID,Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,Sub Location,Spatial_Re,Facility Type,Agency,Latitude,Longitude,GlobalID,x,y
1,2,BARGONI HEALTH CENTRE,3606,COAST,LAMU,HINDI,HINDI MAGOGONI,BARGONI,DDP,3,MOH,-2.057423,40.795232,dfbcc6ed-7e0e-4247-831a-195c023f93a9,4541304.45303347,-229080.51701629
2,3,FAZA HEALTH CENTRE,626,COAST,LAMU,FAZA,TCHUNDWA,TCHUNDWA,DDP,3,MOH,-2.071384,41.106066,46b9ba32-bdff-4e0c-a0c0-a549d2c65c81,4575906.3356347,-230635.657769124
3,4,HINDI MAGOGONI DISP,0,COAST,LAMU,HINDI,HINDI MAGOGONI,HINDI MAGOGONI,DANIDA,4,MOH,-2.17357,40.810619,98dc5f1f-331c-4b1b-b978-cd619c44efaf,4543017.3260383,-242018.762241048
4,5,HINDI PRISON DISP,615,COAST,LAMU,HINDI,HINDI MAGOGONI,HINDI MAGOGONI,ILRI VILLAGES,4,MOH,-2.18,40.82,407e09f7-9f8c-41b5-8d22-ff102245c38e,4544061.61418143,-242735.063458576
5,6,HONGWE CATHOLIC HEALTH CENTRE,616,COAST,LAMU,MPEKETONI,HONGWE,HONGWE,SUBLOC CENTROID,3,MISS,-2.341627,40.657674,c9c4b62a-5feb-4606-ac9f-a9cf7081da78,4525991.56651892,-260741.320691745
6,7,ICHUNDWA DISP,625,COAST,LAMU,KIZINGITINI,MBWAJUMWALI,MYABOGI,DDP,4,MOH,-2.080138,41.123971,729c4a36-3229-4164-aeeb-07aad2d4d7df,4577899.51111735,-231610.788466919
7,8,KIUNGA HEALTH CENTRE,627,COAST,LAMU,KIUNGA,KIUNGA,RUBU/MWAMBORE,DDP,3,MOH,-1.741314,41.489472,455009db-c29f-4755-9662-235e49b4e289,4618586.89632178,-193872.035175036
8,9,KIWAYU DISP,618,COAST,LAMU,KIZINGITINI,NDAU,KIWAYUU,DDP,4,MOH,-2.002129,41.276085,bdcfd88f-b82c-4098-9f2a-4e1ec4cc3118,4594832.76413989,-222921.352316861
9,10,KIZINGITINI DISP,617,COAST,LAMU,KIZINGITINI,MBWAJUMWALI,MYABOGI,DANIDA,4,MOH,-2.07302,41.1464,7c5fef7e-63fd-456d-8fbe-c95858788a0f,4580396.29597635,-230817.895629699
10,11,LAKE KENYATTA HEALTH CENTRE,2451,COAST,LAMU,MPEKETONI,MPEKETONI,KIONGWE,HD MAPS,3,MISS,-2.368667,40.716142,fc731b3f-5961-4657-a43d-264285278e5f,4532500.19450662,-263753.944497357
11,12,LAMU DISTRICT HOSPITAL,631,COAST,LAMU,AMU,SHELLA MANDA,SHELLA(LAMU),DANIDA,1,MOH,-2.27857,40.906769,67269d20-efa6-47aa-8972-ef719311b809,4553720.69507807,-253716.137883454
12,13,MANGAI DISP,2508,COAST,LAMU,KIUNGA,BASUBA,MANGAI,ILRI MKT CENTRES,4,MOH,-1.746,41.181,515d3645-4e46-40c9-8404-1844d94653b8,4584247.9503578,-194393.919959695
13,14,MATONDONI DISP,619,COAST,LAMU,AMU,MATONDONI,KIPUNGANI,DISTRICT ESTIMATES,4,MOH,-2.29451,40.858402,8f1f8108-0ce9-4c6d-9a66-37a5703402c1,4548336.50526688,-255491.98450977
14,15,MKOKONI DISP,3786,COAST,LAMU,KIUNGA,KIUNGA,MKOKONI,SUBLOC CENTROID,4,MOH,-1.896091,41.299752,2be2e3c3-4b4c-4c08-9e8b-22c20261895a,4597467.36252849,-211110.421018671
15,16,MKUNUBI DISP,620,COAST,LAMU,MPEKETONI,MKUNUMBI,MKUNUMBI,1:50000 MAPS,4,MOH,-2.29477,40.6761,1b24789a-fdcf-4f7c-b19d-4d1f38d78b03,4528042.73945628,-255520.950804145
16,17,MLANGUMU DISP,0,COAST,LAMU,MPEKETONI,BAHARINI,BAHARI,1:50000 MAPS,4,MOH,-2.42249,40.7218,06424d31-df93-4441-9380-98cf74cea3f8,4533130.04018553,-269750.734514113
17,18,MOA (WEMA) MISSION DISP,2450,COAST,LAMU,WITU,DIDE WARIDE,MOA,ILRI MKT CENTRES,4,MISS,-2.274546,40.315276,5ae97713-60fa-4382-8d14-d5d94f5224fe,4487875.99551029,-253267.834420387
18,19,MOKOWE HEALTH CENTRE,628,COAST,LAMU,HINDI,MOKOWE,KILIMANI,DDP,3,MOH,-2.226905,40.830624,b978b0a0-6409-4eea-a815-b571bbc642e5,4545244.27245162,-247960.367903032
19,20,MPEKETONI HEALTH CENTRE,629,COAST,LAMU,MPEKETONI,MPEKETONI,CENTRAL(LAMU),1:50000 MAPS,3,MOH,-2.38934,40.6976,83c5be0a-541d-4f73-bd0d-53c9901de2ff,4530436.10850834,-266057.237531319
20,21,MUKOWE HOSPITAL,0,COAST,LAMU,HINDI,MOKOWE,MOKOWE,HD MAPS,1,MOH,-2.234325,40.860674,3360c7cc-746a-4020-8ad5-97fa0d1761ea,4548589.42314996,-248786.984884477
21,22,N.Y.S DISP (BARGONI),614,COAST,LAMU,HINDI,HINDI MAGOGONI,BARGONI,DANIDA,4,MOH,-2.01823,40.780399,7afad8ee-d1b5-4271-b2d7-e42fff7d309b,4539653.25102653,-224714.811119213
22,23,NDAU DISP,621,COAST,LAMU,KIZINGITINI,NDAU,NDAU,DANIDA,4,MOH,-2.011428,41.209608,14f24923-9283-444a-a193-95ce83bdf612,4587432.57835042,-223957.147525237
23,24,PANDA NGUO DISP,3787,COAST,LAMU,WITU,WITU,PANDANGUO,SUBLOC CENTROID,4,MOH,-2.203467,40.481233,05bef628-0949-4a50-afd3-a9b6b762918b,4506350.24424387,-245349.310434052
24,25,PATTE DISP,622,COAST,LAMU,FAZA,PATTE,PATTE,DISTRICT ESTIMATES,4,MOH,-2.119562,41.011852,8de9e695-9818-4b94-9bf4-9f66bcdb3cbb,4565418.4811291,-236002.397169202
25,27,SHELLA DISP,623,COAST,LAMU,AMU,SHELLA MANDA,MANDA(LAMU),DISTRICT ESTIMATES,4,MOH,-2.277881,40.949199,ffae1b7e-26b5-40d9-8655-59c8c114b3bf,4558443.98107244,-253639.378081397
26,28,SIYU DISP,624,COAST,LAMU,FAZA,SIYU,SIYU,DISTRICT ESTIMATES,4,MOH,-2.109339,41.08097,f4e7ad2b-ef40-4ad4-a81c-6c2f64931847,4573112.66169375,-234863.602631032
27,29,WITU HEALTH CENTRE,630,COAST,LAMU,WITU,WITU,WITU,DDP,3,MOH,-2.39067,40.435958,ac09a430-2997-4a06-aef5-c3ddb2d4a2c3,4501310.2542982,-266205.421356234
28,36,ADC GALANA RANCH DISP,3301,COAST,MALINDI,MALINDI,CHAKAMA,KISIKI CHA WANGIRIAM,DSA/DFH(MOH)-UNFPA REPORT,4,MISS,-3.065975,39.477797,0da39336-48db-4315-a760-a1f4fa0dce97,4394648.25968023,-341465.777272526
29,1,ADU DISP,512,COAST,MALINDI,MARAFA,ADU,ADU,DANIDA,4,MOH,-2.8398,39.979912,450c3800-b195-41d4-96b1-2c75f6497034,4450543.4457999,-316254.600397551
30,2,AIC MALANGA DISP,4657,COAST,MALINDI,MALINDI,LANGOBAYA,MALANGA(MALINDI),AMKENI,4,MISS,-3.247002,39.791723,9aa5a823-bae1-4ddd-870d-7055e4e6930c,4429594.342147,-361648.238619666
31,3,BARICHO DISP,516,COAST,MALINDI,MARAFA,BUNGALE,BARICHO(MALINDI),DANIDA,4,MOH,-3.10371,39.784611,87f43d66-ac94-4601-b26c-c4a5ed94b508,4428802.63792847,-345672.514140349
